MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Ins:C:3	0.00031666	0.00065875	0.00176887	0.00002416	0.00000027	0.00000155	0.00616306	0.00000000	0.00011589	0.00046424	0.03189411	0.00320358
1:Ins:C:4	0.00145260	0.00114305	0.01187920	0.00034915	0.00029544	0.00027332	0.00640132	0.00000492	0.00001607	0.00035807	0.00973494	0.00284981
1:Ins:C:5	0.00308555	0.01504818	0.08296493	0.00027921	0.00144161	0.00000000	0.00704575	0.00000602	0.00000826	0.00503923	0.01203751	0.00503064
1:Ins:T:0	0.00067441	0.00168559	0.00721367	0.00020953	0.00264878	0.00646667	0.01997078	0.01239133	0.02669489	0.00129640	0.00371634	0.03403873
1:Ins:T:1	0.00000002	0.00000000	0.00000000	0.00174545	0.00156026	0.00001963	0.05141501	0.00474141	0.00623321	0.00152512	0.28195852	0.01391956
1:Ins:T:2	0.00022452	0.00000000	0.00224651	0.03682795	0.00000000	0.00000000	0.04332220	0.00000000	0.00835926	0.00067026	0.14844736	0.00794405
1:Ins:T:3	0.00066220	0.00309135	0.00598997	0.01974940	0.00018730	0.00003430	0.02759488	0.00000000	0.01078367	0.00147406	0.10645622	0.00559435
1:Ins:T:4	0.00085698	0.01301636	0.02977479	0.00925683	0.00081222	0.00071485	0.00757520	0.00001418	0.01607939	0.00358863	0.05684938	0.00929542
1:Ins:T:5	0.00112191	0.94145922	0.15703365	0.00220654	0.00604679	0.00466910	0.00406509	0.01103992	0.00115659	0.02198541	0.05655653	0.11672484
2:Del:R:0	0.00001618	0.00006603	0.00002918	0.03138647	0.00729152	0.00065811	0.00674342	0.01099205	0.02742567	0.07087847	0.00003804	0.00166221
2:Del:R:1	0.00158645	0.00002457	0.00987521	0.02168235	0.00625586	0.00087723	0.00860781	0.00029473	0.00725489	0.22377154	0.00160123	0.01002774
2:Del:R:2	0.00128248	0.00004105	0.00433991	0.00091128	0.00002001	0.00155592	0.01405161	0.00004477	0.00234537	0.04907132	0.00101943	0.00501337
2:Del:R:3	0.00058775	0.00025524	0.00188120	0.00000837	0.00001419	0.00019233	0.00724536	0.00000000	0.00000000	0.00902014	0.00008937	0.00073668
