Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17
INS,T,1,2,0.00272223275208491,0.00219740560463862,0.0347105302272092,0.0263067783382844,0.0236463705115227,0.000901192381377672,0.00221064453207461,0.00316362191406767,0.0458503864449555,0.00494252764101441,0.00615046677649643,0.0656917297079168,0.00334937258231909,0.0338916471165912,0.00214807389374194,0.00371477756636767,0.00338801277207693
INS,T,1,3,0.0128835765731615,0.0040640152470641,0.0252989487963606,0.0162904720244669,0.0187306020365629,0.00229682840740361,0.0262904574125833,0.0109478639184081,0.0355936143188026,0.00162846286438047,0.0108731466227348,0.0304359934751596,0.00204421800798818,0.0242457308091003,0.00329371330373765,0.0181208661774033,0.00231554829746265
INS,T,1,4,0.0143669446550417,0.021693952143236,0.00884811989053612,0.00915878877343222,0.0114600131006967,0.00194904177599847,0.0610933317571162,0.0111822062824131,0.00967150103356385,0.0132467359318903,0.00450302031850632,0.00947465940673968,0.0191999245211812,0.0106934366304763,0.00930832020621509,0.00398659055902872,0.00231554829746265
INS,T,1,5+,0.011630733510235,0.0120453328876584,0.0692820169008213,0.00326495488866998,0.16693098314774,0.0372529764639438,0.0228613407415539,0.0116559854096406,0.0149098848551765,0.00944698924833583,0.00896943071572396,0.0134077513740245,0.0140736547473032,0.0830923672868132,0.0108835743949592,0.0066141161547522,0.0561581397616204
DEL,repeats,2,0,0.00510235026535254,0.0015437721604748,0.00992454730237631,0.0322668558179607,0.0217732090752099,0.00315162928459213,0.00560007430737923,0.00402457538182522,0.0213603194500942,0.000866608892740484,0.00325828299469156,0.00927004768589827,0.00154102588294493,0.0135195591685307,0.00544178719747959,0.00271812992661049,0.000414361274282789
DEL,repeats,2,1,0.0448981235784685,0.03263167219089,0.0110426018448484,0.0287598950028288,0.0227334901447032,0.00416535847613187,0.0224442061354252,0.0267965398840515,0.0190731962443029,0.0103040749664308,0.00373421197144426,0.0117310719949074,0.00632135107085574,0.0175787004200993,0.0598596591722755,0.0245537736703814,0.00709289004801716
DEL,repeats,2,2,0.0123874620924943,0.0207638480151723,0.011051229763749,0.00282692287382317,0.00360236408027154,0.000507313545810413,0.00748815726143531,0.0195217378014611,0.00271881252231087,0.00729475177845287,0.00684605528098115,0.00766725587264057,0.00380539044563953,0.00769272737192427,0.0199054847486754,0.00752015946362236,0.00173056767494577
DEL,repeats,2,3,0.00647057429871115,0.00789688854563618,0.00764832355067118,0.000634358625049146,0.000145149764782945,0.000304687427513275,0.00124802621023922,0.0238163163418138,0.00185543388927169,0.00202843619949146,0.00497894929525902,0.00708183900467765,0.0023115388244174,0.00788913743248404,0.00673063153372476,0.000724834647096131,0.00138932897847759
DEL,repeats,2,4,0.00252416603487491,0.00704187094874427,0.00294036726197703,0.000642859099315506,0.000794021318406479,0.000257098723216015,0.00121340572673461,0.0103976688029181,0.00103771470317209,0.00379974668355443,0.00245286472634084,0.00181877085192363,0.00243733685567821,0.00282612253805445,0.00544178719747959,0.00154027362507928,0.00190118702317986
DEL,repeats,2,5+,6.46796815769522e-05,1.17647099531868e-05,0.000959727074519507,0.0242662351974759,0.0165143512177693,0.000263384023783577,6.92409670092124e-05,0.000229247964787513,0.0106594054309837,1.90463492909996e-05,0.000256269449020685,0.00425706052528376,3.14495078152027e-05,0.00210595231600196,0.000143204926249463,0,0
DEL,repeats,3,0,0.000802454510993177,0.000291003560900886,0.00154151005217863,0.0155882813320398,0.0131841541118323,0.0047498914289152,0.0006273907132664,0.0017473789316026,0.00669948612367899,0.000161893968973497,0.00164744645799012,0.0094860267245642,0.00105355851180929,0.0031643843090185,0.000572819704997852,0.00099664763975718,0.00021936773344383
DEL,repeats,3,1,0.0422912717968158,0.043728561843793,0.000611482268217318,0.00465778764939476,0.0060079497409635,0.00202177168256598,0.0477931552770905,0.0114573038401581,0.0117386287222826,0.0311979201386574,0.0222222222222222,0.00362049072711049,0.012186684278391,0.000894756942550057,0.00930832020621509,0.0336142067590831,0.00636166426987106
DEL,repeats,3,2,0.0162710860500379,0.00523391184564424,0.000437239555440119,0.000491396103296733,0.00112079437861014,0.00178652186132292,0.0126280324588143,0.00505364402376028,0.000709796856969707,0.00341881969773444,0.00739520410031119,0.000704773705120408,0.00188697046891216,0.000829286922363468,0.0065874266074753,0.00779197245628341,0.00263241280132596
DEL,repeats,3,3,0.00484860689916604,0.00141280325702535,5.2042506834618e-05,0.000391923381705039,0.000720925385577324,0.000124808111270172,0.00176226705058813,0.00306682832893517,0.000784512315598097,0.00175226413477197,0.00399048142046495,0.000233030015402716,0.00174544768374375,8.72933602487861e-05,0.0104539596162108,0.00199329527951436,0.000658103200331489
DEL,repeats,3,4,5.78089461713419e-05,1.79930858107563e-05,0.000148290207717663,0.00614227956445631,0.00511037336985649,5.83635052702245e-05,5.15085242385605e-05,0.000157926375742509,0.00158147720763426,5.71390478729989e-05,0.000256269449020685,0.00203474989058957,3.14495078152027e-05,0.000152763380435376,0.000429614778748389,0,0
DEL,repeats,3,5+,7.34457922668688e-05,2.62975869541823e-05,0.000151315135459702,0.00742512133997698,0.00611156434228548,0.000402259236324009,3.79980916513971e-05,0.000382079941312521,0.00207542940634417,6.66622225184988e-05,0.000109829763866008,0.00145501668153891,3.14495078152027e-05,0.000392820121119537,0.000572819704997852,9.06043308870164e-05,7.31225778146099e-05
DEL,repeats,4,0,0.00043830553449583,0.000322145440188734,0.000371413002871894,0.0109974671162588,0.00993035788721491,0.00202446538280922,0.000436555852972717,0.000988313448195054,0.00307578638020206,0.000285695239364995,0.00120812740252608,0.0034272463240936,0.000849136711010473,0.000840198592394566,0.000286409852498926,0.000453021654435082,2.437419260487e-05
DEL,repeats,4,1,0.00448279946929492,0.0113249174134662,0.00044507686822631,0.00215602938210396,0.00219865420115524,0.00231658220918737,0.00612360357013181,0.00378004421938521,0.00845945026025885,0.00657099050539488,0.00362438220757825,0.00212568843318575,0.00317640028933547,0.00075290523214578,0.00257768867249033,0.00616109450031712,0.00775099324834865
DEL,repeats,4,2,0.00267934988627748,0.00361245799739031,7.05358150757174e-05,0.00011904957141725,0.000166289525397487,0.000505517745648253,0.00112052150269786,0.00287833555788766,0.000630930539528629,0.00250459493176645,0.0028555738605162,0.000198928061929148,0.0081454225241375,4.3646680124393e-05,0.00429614778748389,0.00172148228685331,0.00375362566114997
DEL,repeats,4,3,7.32088703563306e-05,4.93079755390919e-05,9.36008891087614e-05,0.00461395439572833,0.00253355564818674,0.000341202030810543,4.64421120183742e-05,0.00036170234444252,0.000481499622271848,6.66622225184988e-05,0.000183049606443346,0.000392172464946034,0.000833411957102871,0.000163675050466474,0.000286409852498926,0,2.437419260487e-05
