Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID5 0.989),hdp.2 (ID6 0.999),hdp.3 (ID4 0.99),hdp.4 (False Positive) (ID5 0.514),hdp.5 (ID13 0.998),hdp.6 (ID1 1),hdp.7 (False Positive) (ID5 0.929),hdp.8 (ID9 1),hdp.9 (ID2 1),hdp.10 (ID14 0.978),hdp.11 (ID3 0.979),hdp.12 (ID8 0.988),hdp.13 (ID11 0.974)
DEL,repeats,3,1,0.00597409911228589,0.00422669444088875,0.101688741898849,0.00858415455844199,0.000742979775976125,0.00438192947131915,0.00579412203635203,0.00398872574200452,0.00423447635270231,0.00447854773674116,0.000242931425585045,0.00203723055537231,0.00088101605886183
DEL,repeats,3,2,0.0010454470420793,0.000539153863421266,0.0141330121322563,0.00386625070742959,0.000823892743554725,0.000661073534025619,0.000523539814190173,0.000974436550213155,0.0019198984303852,0.00147664179377991,7.4707348018633e-05,0.000219399251041619,0.000399584235362877
DEL,repeats,3,3,0.000568999026949054,0.000142083230802259,0.0037196781223973,0.00170469288116242,0.00011629971655721,0.000269269370976324,0.000247312194144731,0.000321073078084453,0.000419821556617726,0.000399137639646529,0.000119471574451126,0.000254048187409499,0.000490711695125343
DEL,repeats,3,4,0.00594163755753118,3.08925106215953e-05,0.000756954894099778,0.000643841812521541,0.000782067431366539,3.38783960366742e-06,0.00471071658396571,3.39772620908946e-05,1.41638762902696e-06,3.05592055806465e-05,5.44698290904987e-05,2.99469212918106e-05,0.00302119195025232
DEL,repeats,3,5+,0.00948769071337733,0.000176496234943771,0.000752979544597391,0.000636837735153009,0.000304812735757878,2.82926103978171e-06,0.00730166123058847,8.203942467266e-05,1.55376301779546e-06,5.15301268448119e-05,0.000134273573780437,4.98809711657838e-05,0.00384608897501333
DEL,repeats,4,0,0.0112218378683541,0.00234315481431449,0.00633192594321412,0.00161015561353336,0.00408353957690508,4.99298364710059e-05,0.0100659234527311,0.00127494856526282,1.4812067061413e-05,0.000329397134047095,0.000120656116507812,0.00715436167537595,0.00570813260021761
DEL,repeats,4,1,0.00257352310415528,0.00258204081785456,0.0573341693027755,0.00596185643461744,0.000605093128595,0.000890902968806647,0.00290161268241954,0.00352652653949785,0.00183066522024278,0.000231894772610019,0.00138804447147259,0.00136188255069075,0.00172957455724842
DEL,repeats,4,2,0.000180083802367492,0.000531821301764754,0.0138923288943095,0.00112075904004178,0.000168710635030115,3.00550703072394e-05,7.38283877346888e-05,0.000498640418532878,0.00044331274809714,0.000507930619947638,2.77889745395056e-05,0.000109433715931874,0.000252381721933836
DEL,repeats,4,3,0.00372629691786182,0.000169484045396944,0.00399566944764748,0.000644552886366062,0.000418891908468006,3.00364199378275e-06,0.00380204604416304,0.000110022471199647,1.10295067879078e-06,2.78722775380242e-05,4.9898834137885e-05,6.75667096188286e-05,0.00214712480000172
DEL,repeats,4,4,0.00483531356473525,4.91429218137986e-05,0.0003892753558334,0.000422840061644414,0.000357507559380182,4.19353556226049e-06,0.004438237907944,3.49652533999206e-05,1.25374780094471e-06,1.40051523317507e-05,0.000118057766189921,8.67342063329747e-05,0.00102023612347481
DEL,repeats,4,5+,0.00173341503197169,0.000112562200785048,0.00070370401309652,0.000660943138482271,0.000244523449389162,3.1938757617839e-05,0.000760943772379517,5.55805354699633e-05,0.000140227901869769,6.1311649136961e-05,7.10581942633593e-05,3.39557375774137e-05,0.000351733522900733
DEL,repeats,5+,0,0.0217765824809019,0.015845582946931,0.00540169415965557,0.00123698405992873,0.0120100902323569,1.0354685097474e-05,0.019614518877169,0.00211139164642384,1.0908711187439e-05,0.0048838597898007,0.00138968276955906,0.208224978232274,0.0348051261043295
DEL,repeats,5+,1,0.000175356789687626,0.00746853981879753,0.0151810942262319,0.00154018594723249,0.00315469318329947,8.45906155045083e-05,0.000263423467002873,0.00071063684636596,0.00266664893734638,0.000437518382337549,0.000138237968566925,0.000501171722351277,0.000258121168603239
DEL,repeats,5+,2,0.000324283323662405,0.000416624130369707,0.00282310250726099,0.0012037769113896,0.000348564547174126,0.000101272438424961,0.000222622532452808,0.000142843060538511,0.000348560047478387,3.48104410453435e-05,4.75106445074703e-05,0.000244442432741617,0.000855925221123178
DEL,repeats,5+,3,0.000157574608799506,0.000182313328530871,0.00093205829549208,0.0006839108236603,9.55949195903557e-05,2.17649811036602e-05,0.000187425328701353,0.000134493329109791,0.000102707840947669,8.21445432756493e-05,4.49218469481007e-05,2.50945297585509e-05,0.000263266879410289
DEL,repeats,5+,4,3.48219849475592e-05,7.82067916295479e-05,0.000122832927529835,0.000425328820100237,3.28721605125088e-05,9.3830008511152e-06,2.65488229639051e-05,5.98758879293264e-05,7.28800122828756e-05,2.21395509265388e-05,2.25301809733324e-05,9.45171049222242e-06,0.000112106126898902
DEL,repeats,5+,5+,0.000609768229584948,1.90063453835963e-06,0.000148793571408599,0.00026526609769856,0.000146150315122548,1.45901839909112e-05,0.000617329032240284,7.87139905105724e-05,2.88938339239129e-05,5.79989981255088e-05,2.83191526374576e-05,2.66826518552263e-05,0.000180165848898137
INS,repeats,2,0,0.00604395020941774,0.00209211626872611,0.00096645312682861,0.00320015228357454,0.0102921396154675,0.00051129801238966,0.00618327729930622,0.00148708355285265,0.000213224762184471,0.0257000618481146,0.00229468723000471,0.00198514161768875,0.00352010599636497
INS,repeats,2,1,0.0191963779852885,0.0003007178207094,0.000764798151226109,0.00373807964695468,0.00245701655759166,4.49203472469758e-05,0.0207271590937451,0.00176157645531888,0.000218386602941761,8.30647241121637e-05,0.00261072114017675,0.00149754778910628,0.00295249451195649
INS,repeats,2,2,0.00734521374421367,0.00046280451009057,0.000119784264229018,0.00811584132444046,0.000438826105743636,0.000253498618601641,0.00727835828448059,0.000606692931451723,0.000810947447257406,0.0012372199419272,0.000926889830218775,0.000592673962692745,0.00195649160775249
INS,repeats,2,3,0.00112064448283649,0.000390943965982097,0.000294081851532998,0.000877287355677786,0.000657301257675477,0.000441227641990769,0.00128384928448866,0.000421926507989359,0.000363691867599865,0.00102053575854477,0.000842906753675611,0.000376227225017924,0.000288731550840052
INS,repeats,2,4,6.74291439973938e-05,0.0001187788595876,0.000169717877235352,0.00198531817390264,0.000170474902744235,0.00229684428158851,0.000127376606864885,0.000189447333505738,0.00194914912451442,0.00386544964898828,0.000493385648505897,0.000145061933130729,0.000215855971290628
INS,repeats,2,5+,0.00101217953678959,0.000305980562556146,0.000169919330757432,0.00478844237638888,0.0015880031742218,0.0151609720191324,0.000465980181209606,0.00056135979364428,0.0131722178351971,0.000571643941067902,0.000262786834172313,0.00199174351093128,0.000635429314019355
INS,repeats,3,0,0.00386885787814536,0.0010288372335458,0.000215367245338775,0.00096986917023442,0.00046297832238176,3.80271707123461e-05,0.00400923972530695,0.000595873221750438,2.93099076588612e-05,0.0075975927001907,0.000130829804333379,0.000529746916936028,0.00151752289352027
INS,repeats,3,1,0.00558836462378522,0.000167932580461275,0.000506870491789144,0.00359796254589182,0.00393236008485033,0.000357300047118853,0.00599339787772585,0.000866859959937073,0.000905904631931854,0.00296986524623381,0.000381962273109268,0.000563449581939145,0.0037095517168895
INS,repeats,3,2,0.00112480138292417,0.000801743803391452,0.00101824011223808,0.000833556314239744,0.00028938046299414,5.02758008235962e-05,0.00182806297202328,7.3761985290942e-05,0.000141720872330466,0.000242844924564541,6.75762137822147e-05,8.81389425062464e-05,0.000262585182679441
INS,repeats,3,3,2.17504106215438e-05,0.000290624299410991,2.84049466133393e-05,0.000212504418435101,0.000115863719363491,0.000111880768546437,2.16581351943144e-05,4.71464633197413e-05,1.97417907825079e-05,0.000256251959352557,2.50855438778761e-05,7.49131497103775e-05,2.55086518640107e-05
INS,repeats,3,4,2.59462752388998e-05,0.000137076066705937,0.000147746013093781,0.000358452325023037,7.55390486792692e-06,7.38480027232673e-05,4.05778351974269e-05,6.42435324356914e-05,9.19751913216973e-05,0.000860286265865769,3.64246682430852e-05,0.000128414159004149,3.75373006309191e-05
INS,repeats,3,5+,5.65949539810243e-05,3.01329767435766e-05,4.61059960868056e-05,0.000942955025219301,5.25123131691188e-05,0.00108177084936779,5.94975352005393e-05,9.87328631928495e-05,0.00192520001507245,0.00201542607717588,3.43756015401893e-05,5.64938675637182e-05,0.000354988075035107
INS,repeats,4,0,0.00274500189775716,0.00162689636890971,0.000590446842982908,0.000742254432603248,0.00131617413314227,1.18289967994828e-05,0.00198044857886915,0.000144246731117798,1.495023196391e-05,0.00506699417988382,5.59982704539641e-05,0.000585631943234046,0.0013780389463018
INS,repeats,4,1,0.00355574096838398,0.00073593433250075,0.00148516908571608,0.00377082459749487,0.00442476314807333,0.000582879062710914,0.00355857465848137,0.00152464529560739,0.00100708160575986,0.00195012084320845,0.000132472878799104,0.000584590311189114,0.00234668602040336
INS,repeats,4,2,0.000384985959377821,0.000393510542546208,8.87604218286334e-05,0.000195936397857762,0.000121308614550171,1.74539482141049e-05,0.000176480336930767,9.01421582741233e-05,6.44322153873414e-06,7.57492864618735e-05,8.56643620429757e-05,0.00016701689588061,0.000155712727456086
