Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13,hdp.14
INS,C,1,3,0.000468012738188015,9.74284901590877e-05,0.00084561922966926,0.00040094757209145,0.000333396414972494,0.00587379268239955,0.000225535104295266,0.000842145994312154,0.000839512236631064,0.000240013281738972,0.00020063678972248,0.0261205639403409,0.00651542004893122,0.000115084346953819
INS,C,1,4,0.000172255776438691,0.000415207168271939,8.62813999920429e-05,0.000331873137130286,0.00250125642169128,0.00807245931616707,0.000378292818706135,0.0014341398612679,0.000815114678399834,0.000233802631915182,0.000244879395758322,0.00777752093430057,0.0178731844880477,0.00042863434519126
INS,C,1,5+,0.000212116419435147,0.000303297947811494,0.000847198911814286,0.0010318616116479,0.00818430621285187,0.0101889807021599,0.000858765961505599,0.0209924612188958,0.00210856244415572,0.000925915470606628,0.000320322717390758,0.00130616449626601,0.19170113627303,0.000420366635869619
INS,T,1,0,0.00550345628573571,0.00683489308978621,0.00370478799421439,0.0389498034361066,0.00116321069400695,0.0183806511360053,0.0137671427205215,0.00231306010069556,0.0393294693410983,0.00450007408472336,0.0047488105427014,0.00439688186889133,0.0130292314385191,0.00502663184234371
INS,T,1,1,0.0135812502986502,0.00130430697717585,0.0011588296585127,0.0048395156545282,1.08572512657664e-05,0.0425825770490868,0.0105994621844996,1.95046973644349e-05,0.00363373738422661,0.00342382894137641,0.0145123125905299,0.20419034453922,0.00024542546241962,0.00517569437551865
INS,T,1,2,0.031864248085539,0.000658124225420278,0.000315349290508831,0.00621759438819857,0.000530011775500518,0.0452123975759365,0.00242191739839846,9.43466244275444e-05,0.00173445993409265,0.00201865895990312,0.0249963259193506,0.131360621542162,0.00423231279052038,0.00126185151754719
INS,T,1,3,0.0208045659157698,0.000833042621995527,0.000807567063308544,0.0117969317431722,0.00112354119791328,0.0248381124249894,0.00180342420394406,0.00328702009816414,0.00049269568571268,0.000803360675798416,0.021414758060867,0.0835362048727201,0.0347467620485088,0.00175012035577341
INS,T,1,4,0.0108793615605007,0.000962997596175545,0.0011432844678466,0.0119571196529955,0.00369890828015865,0.00625705115130793,0.00404459861673854,0.0142725421831731,0.00491671345594916,0.000700346798806881,0.0114090674565721,0.0421743071738801,0.096311763776069,0.00222360753187913
INS,T,1,5+,0.000896569598330022,0.0143667424516068,0.004022877264373,0.0275839255390668,0.021600392312942,0.0299918393513495,0.00441545322906806,0.905065251701508,0.140362080608282,0.0111465761316954,0.000708758389375053,0.0112123939105453,0.0135025969357138,0.0162415391573949
DEL,repeats,2,0,0.0275182128232957,0.00107157791311844,0.0877925826458244,0.0231186812659329,0.000175446259497803,0.00960364148289738,0.0147408902015229,0.000557179374616154,0.000785029650328697,0.00916647796699334,0.0257577856982777,0.0124236325750369,0.00555365158676759,0.00718046830391146
