Data_set,Noise_level,Approach,Run,cpu_time
indel_set1,Realistic,mSigHdp_ds_1k,seed.1076753,129429.312
indel_set1,Realistic,mSigHdp_ds_1k,seed.145879,127851.494
indel_set1,Realistic,mSigHdp_ds_1k,seed.200437,127976.223
indel_set1,Realistic,mSigHdp_ds_1k,seed.310111,128140.414
indel_set1,Realistic,mSigHdp_ds_1k,seed.528401,128432.73
indel_set1,Realistic,mSigHdp_ds_3k,seed.1076753,132568.594
indel_set1,Realistic,mSigHdp_ds_3k,seed.145879,132555.571
indel_set1,Realistic,mSigHdp_ds_3k,seed.200437,133645.357
indel_set1,Realistic,mSigHdp_ds_3k,seed.310111,133973.049
indel_set1,Realistic,mSigHdp_ds_3k,seed.528401,133075.125
indel_set1,Realistic,mSigHdp_ds_5k,seed.1076753,137460.958
indel_set1,Realistic,mSigHdp_ds_5k,seed.145879,137145.154
indel_set1,Realistic,mSigHdp_ds_5k,seed.200437,136565.606
indel_set1,Realistic,mSigHdp_ds_5k,seed.310111,138269.108
indel_set1,Realistic,mSigHdp_ds_5k,seed.528401,138132.701
indel_set2,Realistic,mSigHdp_ds_10k,seed.1076753,267399.744
indel_set2,Realistic,mSigHdp_ds_10k,seed.145879,275883.174
indel_set2,Realistic,mSigHdp_ds_10k,seed.200437,259964.591
indel_set2,Realistic,mSigHdp_ds_10k,seed.310111,264016.392
indel_set2,Realistic,mSigHdp_ds_10k,seed.528401,264620.484
indel_set2,Realistic,mSigHdp_ds_1k,seed.1076753,214882.135
indel_set2,Realistic,mSigHdp_ds_1k,seed.145879,215578.996
indel_set2,Realistic,mSigHdp_ds_1k,seed.200437,217963.591
indel_set2,Realistic,mSigHdp_ds_1k,seed.310111,217590.811
indel_set2,Realistic,mSigHdp_ds_1k,seed.528401,217693.407
indel_set2,Realistic,mSigHdp_ds_3k,seed.1076753,224862.779
indel_set2,Realistic,mSigHdp_ds_3k,seed.145879,224279.814
indel_set2,Realistic,mSigHdp_ds_3k,seed.200437,222580.092
indel_set2,Realistic,mSigHdp_ds_3k,seed.310111,227477.877
indel_set2,Realistic,mSigHdp_ds_3k,seed.528401,221544.186
indel_set2,Realistic,mSigHdp_ds_5k,seed.1076753,238117.67
indel_set2,Realistic,mSigHdp_ds_5k,seed.145879,244250.34
indel_set2,Realistic,mSigHdp_ds_5k,seed.200437,230412.49
indel_set2,Realistic,mSigHdp_ds_5k,seed.310111,234324.887
indel_set2,Realistic,mSigHdp_ds_5k,seed.528401,234001.759
SBS_set1,Realistic,mSigHdp_ds_10k,seed.1076753,3503522.863
SBS_set1,Realistic,mSigHdp_ds_10k,seed.145879,3450543.721
SBS_set1,Realistic,mSigHdp_ds_10k,seed.200437,3985939.807
SBS_set1,Realistic,mSigHdp_ds_10k,seed.310111,4548819.569
SBS_set1,Realistic,mSigHdp_ds_10k,seed.528401,4112199.206
SBS_set1,Realistic,mSigHdp_ds_1k,seed.1076753,1295039.572
SBS_set1,Realistic,mSigHdp_ds_1k,seed.145879,1016114.984
SBS_set1,Realistic,mSigHdp_ds_1k,seed.200437,1099475.886
SBS_set1,Realistic,mSigHdp_ds_1k,seed.310111,1114226.387
SBS_set1,Realistic,mSigHdp_ds_1k,seed.528401,1144956.794
SBS_set1,Moderate,mSigHdp_ds_3k,seed.1076753,828257.037
SBS_set1,Moderate,mSigHdp_ds_3k,seed.145879,831727.851
SBS_set1,Moderate,mSigHdp_ds_3k,seed.200437,831917.189
SBS_set1,Moderate,mSigHdp_ds_3k,seed.310111,858642.988
SBS_set1,Moderate,mSigHdp_ds_3k,seed.528401,838683.117
SBS_set1,Noiseless,mSigHdp_ds_3k,seed.1076753,823633.901
SBS_set1,Noiseless,mSigHdp_ds_3k,seed.145879,824692.208
SBS_set1,Noiseless,mSigHdp_ds_3k,seed.200437,825473.833
SBS_set1,Noiseless,mSigHdp_ds_3k,seed.310111,833665.215
SBS_set1,Noiseless,mSigHdp_ds_3k,seed.528401,830599.139
SBS_set1,Realistic,mSigHdp_ds_3k,seed.1076753,1694469.415
SBS_set1,Realistic,mSigHdp_ds_3k,seed.145879,1319799.728
SBS_set1,Realistic,mSigHdp_ds_3k,seed.200437,1459552.914
SBS_set1,Realistic,mSigHdp_ds_3k,seed.310111,1414006.838
SBS_set1,Realistic,mSigHdp_ds_3k,seed.528401,1616929.555
SBS_set1,Realistic,mSigHdp_ds_5k,seed.1076753,1855850.949
SBS_set1,Realistic,mSigHdp_ds_5k,seed.145879,1861816.316
SBS_set1,Realistic,mSigHdp_ds_5k,seed.200437,2099864.753
SBS_set1,Realistic,mSigHdp_ds_5k,seed.310111,2414064.866
SBS_set1,Realistic,mSigHdp_ds_5k,seed.528401,2132705.959
SBS_set2,Realistic,mSigHdp_ds_1k,seed.1076753,2336907.133
SBS_set2,Realistic,mSigHdp_ds_1k,seed.145879,2329222.449
SBS_set2,Realistic,mSigHdp_ds_1k,seed.200437,2300224.641
SBS_set2,Realistic,mSigHdp_ds_1k,seed.310111,2300023.205
SBS_set2,Realistic,mSigHdp_ds_1k,seed.528401,2295492.415
SBS_set2,Realistic,mSigHdp_ds_3k,seed.1076753,2989747.226
SBS_set2,Realistic,mSigHdp_ds_3k,seed.145879,3014169.645
SBS_set2,Realistic,mSigHdp_ds_3k,seed.200437,3007256.781
SBS_set2,Realistic,mSigHdp_ds_3k,seed.310111,3015428.688
SBS_set2,Realistic,mSigHdp_ds_3k,seed.528401,3015978.896
SBS_set2,Realistic,mSigHdp_ds_5k,seed.1076753,4248291.104
SBS_set2,Realistic,mSigHdp_ds_5k,seed.145879,4281006.614
SBS_set2,Realistic,mSigHdp_ds_5k,seed.200437,4250514.221
SBS_set2,Realistic,mSigHdp_ds_5k,seed.310111,4256412.337
SBS_set2,Realistic,mSigHdp_ds_5k,seed.528401,4262815.372
sens_SBS35_5_1066,Realistic,mSigHdp_ds_3k,seed.1076753,1313030.978
sens_SBS35_5_1066,Realistic,mSigHdp_ds_3k,seed.145879,1329975.254
sens_SBS35_5_1066,Realistic,mSigHdp_ds_3k,seed.200437,1322841.486
sens_SBS35_5_1066,Realistic,mSigHdp_ds_3k,seed.310111,1302290.282
