Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16,W.17
DEL,repeats,3,3,0,0.000218890192132651,0,0,0.00317353211667432,0,2.65103365422138e-05,0.000342677472557496,0.0014315461836919,0.00446677461802913,0.000660836359122172,1.2385515051945e-10,3.14951208694487e-248,0.000180435638711596,0,0,0
DEL,repeats,3,4,0,0,0,0,0,0,0.00102939070304827,0,0.0168020902809142,1.46100381418539e-154,0,0,0,0,0,0,0
DEL,repeats,3,5+,0,0,0,0,0,0,0.00073094176986684,0,0.0236732619532239,0,0,0,0,0,0,0,0
DEL,repeats,4,0,0.00144959749746021,1.75825928851686e-05,6.37789674113709e-125,0.00167072236199635,0,0.00307007242850129,0,1.01698688184367e-06,0.0241979437768262,0.00850146883449348,0,0,0.000249169050422505,0.00859319806007635,3.72633299417645e-38,0,0.00543022108744749
DEL,repeats,4,1,0.00251197146995437,0.00018279547917683,0,0.00154734643367787,0.0157487838918204,0,0.000219607279023204,0.00146206063099217,0,0.0677909802898708,0,0.00508336701406222,0,1.94269194837635e-59,0,2.45724583078017e-44,0
DEL,repeats,4,2,0.000534924631892271,0,0,0,0.00392110804288595,0,0,0.000359307799025948,0,0.0123302186772386,0.00045087053092066,0.00025073653305916,0,0,0,2.07996551483466e-40,0
DEL,repeats,4,3,0.000187679289248563,0,0,0,0,0,0.00011041479642229,2.38572392917877e-06,0.0100137931702581,0.00367243518994909,0.000135026271133077,0,0,0,0,0,0
DEL,repeats,4,4,0,0,0,0,0,0,0.000693649468700632,0,0.01262756068601,0.0003938293885172,0,0,0,0.000231867421605768,0,0,0
DEL,repeats,4,5+,0,0,0,0,0.00257973390972512,0,4.88588182374644e-05,0.000150542495357429,0.00488536717512173,3.72597618533759e-05,0,0,0,0,0,0,0
DEL,repeats,5+,0,4.60338506340845e-98,0,0,0,0,0.0107496959558719,0,0,0.0197692956811772,0.00072414029818516,0.00261646119678724,0,0.00209218214521242,0.338131823896513,0,0,0
DEL,repeats,5+,1,0.00849769622124977,0,0,0,0.0224174303833238,0.00102078110301193,0.000170105800431194,0.00236086876423009,0,0.00962572860790238,0,0,0,0,0,1.12243029850691e-308,0
DEL,repeats,5+,2,0.000493709782771636,2.56454309473858e-05,0,0,0.00375929519008892,0,0,0.000252156822645812,0.000747199993904368,0.00309189301067879,0.00011724876346364,0.000780110294229102,0,0.000454763452366454,0,0,0
DEL,repeats,5+,3,0.000115089207824243,1.10866942675829e-05,0,0,0.00120034142352107,0,0,9.84307022665968e-05,0.000602203543825925,0.00140892552130481,0.0001280835001132,1.14550488920254e-137,0,0,0,0,0
DEL,repeats,5+,4,7.58325294589992e-05,0,0,0,0.00071631529825118,3.230056308819e-05,0,6.0928907621016e-05,0.000172981449740898,0,0,1.34273937123167e-27,3.83005402214998e-05,7.5322498739883e-05,0,5.04962576601206e-102,0
DEL,repeats,5+,5+,4.13407222412089e-05,0,0,6.69930645408472e-05,0.000476873336047845,0,1.0348674166787e-05,1.23503604558475e-05,0.00167233588077863,0.00035971757447344,0.000123204372214087,0,0,0,0.000172355211555911,1.52520529181026e-270,0
INS,repeats,2,0,0.00227289540417822,0.000298901962916835,0.00308373627568351,1.21594716382793e-92,0.00419634396795881,0.0123322042713147,0,0.000215669120995803,0.0121980628121876,0,0.0345716731743129,0.000555734752533809,0.00321190999728553,0.00187098225415057,0,7.39675080255603e-47,1.11253693034227e-308
INS,repeats,2,1,0,0,1.63471086819425e-226,0.00303640200955001,0.000893039548619192,0.00285122207107411,0,0.000215220435250032,0.0452635497979339,0,0,0.000870475881097861,0.00273859602194762,0.00181046001927464,0,5.45425322896214e-87,2.87391298892498e-200
